年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第１５節第１日,05/28(土),16:05,岐阜,0-1,山形,長良川,8,248,スカパー！／スカパー！プレミアムサービス／岐阜放送,18359
2016,Ｊ２,第１５節第１日,05/28(土),18:03,長崎,1-1,千葉,長崎県立,5,762,スカパー！／スカパー！プレミアムサービス,18361
2016,Ｊ２,第１５節第１日,05/28(土),18:34,Ｃ大阪,2-1,岡山,ヤンマー,13,774,スカパー！／スカパー！プレミアムサービス,18362
2016,Ｊ２,第１５節第１日,05/28(土),19:33,熊本,0-2,町田,ノエスタ,2,509,スカパー！／スカパー！プレミアムサービス,18360
2016,Ｊ２,第１５節第２日,05/29(日),19:03,金沢,0-2,松本,石川西部,7,636,スカパー！／スカパー！プレミアムサービス,18363
2016,Ｊ２,第１５節第２日,05/29(日),19:04,愛媛,0-0,東京Ｖ,ニンスタ,2,019,スカパー！／スカパー！プレミアムサービス,18364
2016,Ｊ２,第１６節第１日,06/04(土),13:03,岡山,2-1,熊本,Ｃスタ,7,308,スカパー！／スカパー！プレミアムサービス／岡山放送,18366
2016,Ｊ２,第１６節第１日,06/04(土),13:03,山口,3-1,東京Ｖ,維新公園,4,909,スカパー！／スカパー！プレミアムサービス,18367
2016,Ｊ２,第１６節第１日,06/04(土),13:04,岐阜,2-4,長崎,長良川,4,074,スカパー！／スカパー！プレミアムサービス,18365
2016,Ｊ２,第１６節第１日,06/04(土),14:04,山形,0-0,横浜FC,ＮＤスタ,6,659,スカパー！／スカパー！プレミアムサービス／山形テレビ,18368
2016,Ｊ２,第１６節第１日,06/04(土),15:03,松本,2-1,北九州,松本,11,140,スカパー！／スカパー！プレミアムサービス／テレビ信州,18369
2016,Ｊ２,第１６節第１日,06/04(土),16:03,水戸,0-0,清水,Ｋｓスタ,8,827,スカパー！／スカパー！プレミアムサービス,18370
2016,Ｊ２,第１６節第１日,06/04(土),16:03,町田,1-0,徳島,町田,4,021,スカパー！／スカパー！プレミアムサービス,18371
2016,Ｊ２,第１６節第１日,06/04(土),16:04,Ｃ大阪,2-3,讃岐,ヤンマー,18,002,スカパー！／スカパー！プレミアムサービス,18372
2016,Ｊ２,第１６節第１日,06/04(土),18:03,金沢,1-1,京都,石川西部,3,069,スカパー！／スカパー！プレミアムサービス,18373
2016,Ｊ２,第１６節第１日,06/04(土),19:03,札幌,2-2,千葉,札幌ド,11,937,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18374
2016,Ｊ２,第１６節第１日,06/04(土),19:34,群馬,1-2,愛媛,正田スタ,4,085,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18375
2016,Ｊ２,第１７節第１日,06/08(水),19:03,町田,1-2,清水,町田,6,171,スカパー！／スカパー！プレミアムサービス,18378
2016,Ｊ２,第１７節第１日,06/08(水),19:03,熊本,5-2,金沢,ベアスタ,2,638,スカパー！／スカパー！プレミアムサービス,18386
2016,Ｊ２,第１７節第１日,06/08(水),19:03,讃岐,1-3,京都,ピカスタ,2,153,スカパー！／スカパー！プレミアムサービス,18382
2016,Ｊ２,第１７節第１日,06/08(水),19:03,長崎,1-2,Ｃ大阪,長崎県立,6,342,スカパー！／スカパー！プレミアムサービス,18385
2016,Ｊ２,第１７節第１日,06/08(水),19:03,千葉,3-0,山形,フクアリ,7,684,スカパー！／スカパー！プレミアムサービス,18376
2016,Ｊ２,第１７節第１日,06/08(水),19:03,北九州,0-3,群馬,本城,2,115,スカパー！／スカパー！プレミアムサービス,18384
2016,Ｊ２,第１７節第１日,06/08(水),19:03,東京Ｖ,1-1,岐阜,味フィ西,3,120,スカパー！／スカパー！プレミアムサービス,18377
2016,Ｊ２,第１７節第１日,06/08(水),19:03,横浜FC,1-1,水戸,ニッパツ,2,077,スカパー！／スカパー！プレミアムサービス,18379
2016,Ｊ２,第１７節第１日,06/08(水),19:03,松本,3-2,札幌,松本,10,796,スカパー！／スカパー！プレミアムサービス,18380
2016,Ｊ２,第１７節第１日,06/08(水),19:03,山口,1-1,愛媛,維新公園,3,629,スカパー！／スカパー！プレミアムサービス,18381
2016,Ｊ２,第１７節第１日,06/08(水),19:04,徳島,2-3,岡山,鳴門大塚,3,218,スカパー！／スカパー！プレミアムサービス,18383
2016,Ｊ２,第１８節第１日,06/12(日),13:03,水戸,2-2,町田,Ｋｓスタ,4,280,スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸,18387
2016,Ｊ２,第１８節第１日,06/12(日),13:04,清水,3-0,横浜FC,アイスタ,11,647,スカパー！／スカパー！プレミアムサービス／テレビ静岡,18388
2016,Ｊ２,第１８節第１日,06/12(日),13:05,岐阜,0-1,Ｃ大阪,長良川,8,087,スカパー！／スカパー！プレミアムサービス／岐阜放送,18389
2016,Ｊ２,第１８節第１日,06/12(日),14:03,北九州,3-2,金沢,本城,1,795,スカパー！／スカパー！プレミアムサービス,18391
2016,Ｊ２,第１８節第１日,06/12(日),14:04,山形,2-1,讃岐,ＮＤスタ,7,043,スカパー！／スカパー！プレミアムサービス,18390
2016,Ｊ２,第１８節第１日,06/12(日),16:03,千葉,2-2,東京Ｖ,フクアリ,11,196,スカパー！／スカパー！プレミアムサービス,18393
2016,Ｊ２,第１８節第１日,06/12(日),16:04,京都,3-0,山口,西京極,5,925,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18394
2016,Ｊ２,第１８節第１日,06/12(日),16:04,群馬,1-1,熊本,正田スタ,4,710,スカパー！／スカパー！プレミアムサービス,18392
2016,Ｊ２,第１８節第１日,06/12(日),19:03,岡山,2-1,松本,Ｃスタ,8,193,スカパー！／スカパー！プレミアムサービス,18395
2016,Ｊ２,第１８節第１日,06/12(日),19:04,愛媛,0-2,徳島,ニンスタ,4,460,スカパー！／スカパー！プレミアムサービス,18396
2016,Ｊ２,第１８節第２日,06/13(月),19:03,札幌,2-1,長崎,札幌ド,10,607,スカパー！／スカパー！プレミアムサービス,18397
2016,Ｊ２,第１９節第１日,06/19(日),14:03,札幌,1-0,北九州,札幌ド,11,957,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18398
2016,Ｊ２,第１９節第１日,06/19(日),18:03,横浜FC,1-2,岐阜,ニッパツ,3,017,スカパー！／スカパー！プレミアムサービス,18401
2016,Ｊ２,第１９節第１日,06/19(日),18:03,町田,0-1,愛媛,町田,3,481,スカパー！／スカパー！プレミアムサービス,18400
2016,Ｊ２,第１９節第１日,06/19(日),18:03,山口,1-0,水戸,維新公園,4,599,スカパー！／スカパー！プレミアムサービス,18404
2016,Ｊ２,第１９節第１日,06/19(日),18:03,松本,1-0,山形,松本,12,141,スカパー！／スカパー！プレミアムサービス,18402
2016,Ｊ２,第１９節第１日,06/19(日),18:03,熊本,2-0,讃岐,ベアスタ,5,191,スカパー！／スカパー！プレミアムサービス,18406
2016,Ｊ２,第１９節第１日,06/19(日),18:03,長崎,2-2,群馬,長崎県立,4,084,スカパー！／スカパー！プレミアムサービス,18405
2016,Ｊ２,第１９節第１日,06/19(日),18:03,東京Ｖ,2-1,京都,味スタ,4,209,スカパー！／スカパー！プレミアムサービス,18399
2016,Ｊ２,第１９節第１日,06/19(日),18:05,清水,1-1,千葉,アイスタ,8,730,スカパー！／スカパー！プレミアムサービス,18403
2016,Ｊ２,第１９節第１日,06/19(日),19:04,Ｃ大阪,3-2,徳島,金鳥スタ,8,464,スカパー！／スカパー！プレミアムサービス,18407
2016,Ｊ２,第１９節第２日,06/20(月),19:03,金沢,1-1,岡山,石川西部,2,418,スカパー！／スカパー！プレミアムサービス,18408
2016,Ｊ２,第２０節第１日,06/26(日),18:03,千葉,1-2,北九州,フクアリ,10,344,スカパー！／スカパー！プレミアムサービス,18410
2016,Ｊ２,第２０節第１日,06/26(日),18:03,横浜FC,1-0,町田,ニッパツ,6,871,スカパー！／スカパー！プレミアムサービス,18411
2016,Ｊ２,第２０節第１日,06/26(日),18:03,山口,0-4,清水,維新公園,7,310,スカパー！／スカパー！プレミアムサービス,18413
2016,Ｊ２,第２０節第１日,06/26(日),18:04,岐阜,2-3,熊本,長良川,4,507,スカパー！／スカパー！プレミアムサービス／岐阜放送（録）,18412
2016,Ｊ２,第２０節第１日,06/26(日),18:04,山形,2-2,水戸,ＮＤスタ,5,113,スカパー！／スカパー！プレミアムサービス,18409
2016,Ｊ２,第２０節第１日,06/26(日),18:04,徳島,0-1,金沢,鳴門大塚,3,525,スカパー！／スカパー！プレミアムサービス,18414
2016,Ｊ２,第２０節第１日,06/26(日),19:03,讃岐,0-1,岡山,ピカスタ,6,716,スカパー！／スカパー！プレミアムサービス,18417
2016,Ｊ２,第２０節第１日,06/26(日),19:04,愛媛,0-1,長崎,ニンスタ,2,670,スカパー！／スカパー！プレミアムサービス,18418
2016,Ｊ２,第２０節第１日,06/26(日),19:04,京都,1-2,松本,西京極,5,970,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都,18415
2016,Ｊ２,第２０節第１日,06/26(日),19:04,Ｃ大阪,1-0,東京Ｖ,金鳥スタ,10,171,スカパー！／スカパー！プレミアムサービス,18416
2016,Ｊ２,第２０節第１日,06/26(日),19:34,群馬,0-1,札幌,正田スタ,3,184,スカパー！／スカパー！プレミアムサービス,18419
2016,Ｊ２,第８節第４日,06/29(水),19:04,京都,1-1,熊本,西京極,2,884,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都,18285
2016,Ｊ２,第２１節第１日,07/03(日),14:03,札幌,5-2,横浜FC,函館,10,442,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18420
2016,Ｊ２,第２１節第１日,07/03(日),18:03,岡山,2-2,清水,Ｃスタ,11,090,スカパー！／スカパー！プレミアムサービス,18424
2016,Ｊ２,第２１節第１日,07/03(日),18:03,水戸,2-3,松本,Ｋｓスタ,5,328,スカパー！／スカパー！プレミアムサービス,18422
2016,Ｊ２,第２１節第１日,07/03(日),18:03,熊本,1-5,Ｃ大阪,うまスタ,9,322,スカパー！／スカパー！プレミアムサービス,18427
2016,Ｊ２,第２１節第１日,07/03(日),18:04,徳島,0-0,長崎,鳴門大塚,3,243,スカパー！／スカパー！プレミアムサービス,18425
2016,Ｊ２,第２１節第１日,07/03(日),18:04,山形,2-1,山口,ＮＤスタ,4,597,スカパー！／スカパー！プレミアムサービス,18421
2016,Ｊ２,第２１節第１日,07/03(日),18:05,金沢,0-0,讃岐,石川西部,2,844,スカパー！／スカパー！プレミアムサービス,18423
2016,Ｊ２,第２１節第１日,07/03(日),18:33,北九州,2-1,東京Ｖ,本城,2,864,スカパー！／スカパー！プレミアムサービス,18426
2016,Ｊ２,第２１節第１日,07/03(日),19:04,愛媛,2-1,千葉,ニンスタ,2,829,スカパー！／スカパー！プレミアムサービス,18429
2016,Ｊ２,第２１節第１日,07/03(日),19:05,岐阜,0-1,京都,長良川,4,126,スカパー！／スカパー！プレミアムサービス,18428
2016,Ｊ２,第２１節第１日,07/03(日),19:34,群馬,2-2,町田,正田スタ,2,374,スカパー！／スカパー！プレミアムサービス,18430
2016,Ｊ２,第１０節第２日,07/06(水),19:04,山形,4-1,熊本,ＮＤスタ,3,303,スカパー！／スカパー！プレミアムサービス,18304
2016,Ｊ２,第２２節第１日,07/09(土),19:04,Ｃ大阪,0-0,札幌,金鳥スタ,13,443,スカパー！／スカパー！プレミアムサービス,18431
2016,Ｊ２,第２２節第２日,07/10(日),18:03,千葉,0-1,水戸,フクアリ,9,132,スカパー！／スカパー！プレミアムサービス,18432
2016,Ｊ２,第２２節第２日,07/10(日),18:03,東京Ｖ,2-1,岡山,味スタ,4,944,スカパー！／スカパー！プレミアムサービス,18433
2016,Ｊ２,第２２節第２日,07/10(日),18:03,山口,5-1,北九州,維新公園,6,232,スカパー！／スカパー！プレミアムサービス,18438
2016,Ｊ２,第２２節第２日,07/10(日),18:03,横浜FC,0-2,徳島,ニッパツ,3,034,スカパー！／スカパー！プレミアムサービス,18435
2016,Ｊ２,第２２節第２日,07/10(日),18:03,町田,2-1,山形,町田,4,412,スカパー！／スカパー！プレミアムサービス,18434
2016,Ｊ２,第２２節第２日,07/10(日),18:03,長崎,2-1,岐阜,長崎県立,9,048,スカパー！／スカパー！プレミアムサービス,18440
2016,Ｊ２,第２２節第２日,07/10(日),18:04,松本,4-2,金沢,松本,13,323,スカパー！／スカパー！プレミアムサービス,18436
2016,Ｊ２,第２２節第２日,07/10(日),18:04,清水,4-0,熊本,アイスタ,10,553,スカパー！／スカパー！プレミアムサービス,18437
2016,Ｊ２,第２２節第２日,07/10(日),18:04,讃岐,1-1,愛媛,ピカスタ,4,539,スカパー！／スカパー！プレミアムサービス,18439
2016,Ｊ２,第２２節第２日,07/10(日),19:04,京都,0-0,群馬,西京極,4,545,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都,18441
2016,Ｊ２,第２３節第１日,07/16(土),18:03,長崎,2-1,東京Ｖ,長崎県立,4,741,スカパー！／スカパー！プレミアムサービス,18448
2016,Ｊ２,第２３節第１日,07/16(土),18:03,水戸,1-0,岐阜,Ｋｓスタ,4,318,スカパー！／スカパー！プレミアムサービス,18442
2016,Ｊ２,第２３節第１日,07/16(土),18:03,讃岐,0-2,山口,ピカスタ,3,212,スカパー！／スカパー！プレミアムサービス,18445
2016,Ｊ２,第２３節第１日,07/16(土),18:03,北九州,1-2,松本,本城,3,125,スカパー！／スカパー！プレミアムサービス,18447
2016,Ｊ２,第２３節第１日,07/16(土),18:03,横浜FC,1-1,熊本,ニッパツ,3,296,スカパー！／スカパー！プレミアムサービス,18444
2016,Ｊ２,第２３節第１日,07/16(土),18:04,群馬,0-2,Ｃ大阪,正田スタ,6,986,スカパー！／スカパー！プレミアムサービス／群馬テレビ（録）,18443
2016,Ｊ２,第２３節第１日,07/16(土),18:04,徳島,2-1,京都,鳴門大塚,4,191,スカパー！／スカパー！プレミアムサービス,18446
2016,Ｊ２,第２３節第１日,07/16(土),18:33,町田,2-3,千葉,町田,6,412,スカパー！／スカパー！プレミアムサービス,18449
2016,Ｊ２,第２３節第１日,07/16(土),19:03,岡山,0-0,札幌,Ｃスタ,13,304,スカパー！／スカパー！プレミアムサービス／テレビせとうち,18451
2016,Ｊ２,第２３節第１日,07/16(土),19:03,金沢,1-0,山形,石川西部,4,080,スカパー！／スカパー！プレミアムサービス,18450
2016,Ｊ２,第２３節第１日,07/16(土),19:04,愛媛,2-2,清水,ニンスタ,4,897,スカパー！／スカパー！プレミアムサービス,18452
2016,Ｊ２,第２４節第１日,07/20(水),19:03,熊本,1-0,徳島,うまスタ,3,701,スカパー！／スカパー！プレミアムサービス,18463
2016,Ｊ２,第２４節第１日,07/20(水),19:03,水戸,0-2,長崎,Ｋｓスタ,3,815,スカパー！／スカパー！プレミアムサービス,18455
2016,Ｊ２,第２４節第１日,07/20(水),19:04,札幌,1-0,松本,札幌ド,12,901,スカパー！／スカパー！プレミアムサービス／北海道放送（録）,18453
2016,Ｊ２,第２４節第１日,07/20(水),19:04,清水,0-1,東京Ｖ,アイスタ,7,083,スカパー！／スカパー！プレミアムサービス,18457
2016,Ｊ２,第２４節第１日,07/20(水),19:04,群馬,2-2,北九州,正田スタ,2,831,スカパー！／スカパー！プレミアムサービス,18456
2016,Ｊ２,第２４節第１日,07/20(水),19:04,岐阜,0-1,金沢,長良川,4,081,スカパー！／スカパー！プレミアムサービス,18458
2016,Ｊ２,第２４節第１日,07/20(水),19:04,Ｃ大阪,1-3,町田,金鳥スタ,9,323,スカパー！／スカパー！プレミアムサービス,18460
2016,Ｊ２,第２４節第１日,07/20(水),19:04,愛媛,1-1,山口,ニンスタ,2,835,スカパー！／スカパー！プレミアムサービス,18462
2016,Ｊ２,第２４節第１日,07/20(水),19:04,山形,1-1,千葉,ＮＤスタ,4,410,スカパー！／スカパー！プレミアムサービス,18454
2016,Ｊ２,第２４節第１日,07/20(水),19:04,岡山,0-1,横浜FC,Ｃスタ,10,753,スカパー！／スカパー！プレミアムサービス,18461
2016,Ｊ２,第２４節第１日,07/20(水),19:04,京都,1-0,讃岐,西京極,4,458,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都,18459
2016,Ｊ２,第２５節第１日,07/24(日),18:03,千葉,3-4,清水,フクアリ,12,400,スカパー！／スカパー！プレミアムサービス,18465
2016,Ｊ２,第２５節第１日,07/24(日),18:03,讃岐,2-1,Ｃ大阪,ピカスタ,11,376,スカパー！／スカパー！プレミアムサービス,18470
2016,Ｊ２,第２５節第１日,07/24(日),18:03,東京Ｖ,1-2,群馬,味スタ,3,739,スカパー！／スカパー！プレミアムサービス,18466
2016,Ｊ２,第２５節第１日,07/24(日),18:03,横浜FC,2-2,北九州,ニッパツ,2,644,スカパー！／スカパー！プレミアムサービス,18467
2016,Ｊ２,第２５節第１日,07/24(日),18:03,金沢,0-0,熊本,石川西部,3,304,スカパー！／スカパー！プレミアムサービス,18469
2016,Ｊ２,第２５節第１日,07/24(日),18:04,松本,1-0,長崎,松本,12,547,スカパー！／スカパー！プレミアムサービス,18468
2016,Ｊ２,第２５節第１日,07/24(日),18:04,山形,0-1,岡山,ＮＤスタ,5,312,スカパー！／スカパー！プレミアムサービス,18464
2016,Ｊ２,第２５節第１日,07/24(日),18:04,徳島,2-0,愛媛,鳴門大塚,8,962,スカパー！／スカパー！プレミアムサービス,18471
2016,Ｊ２,第２５節第１日,07/24(日),19:03,山口,1-1,京都,維新公園,5,226,スカパー！／スカパー！プレミアムサービス,18473
2016,Ｊ２,第２５節第１日,07/24(日),19:03,町田,3-3,水戸,町田,3,448,スカパー！／スカパー！プレミアムサービス,18472
2016,Ｊ２,第２５節第２日,07/25(月),19:03,札幌,5-0,岐阜,札幌ド,11,301,スカパー！／スカパー！プレミアムサービス／北海道文化放送（録）,18474
2016,Ｊ２,第２６節第１日,07/31(日),18:03,横浜FC,2-1,千葉,ニッパツ,7,396,スカパー！／スカパー！プレミアムサービス,18477
2016,Ｊ２,第２６節第１日,07/31(日),18:03,長崎,1-0,町田,長崎県立,5,009,スカパー！／スカパー！プレミアムサービス,18483
2016,Ｊ２,第２６節第１日,07/31(日),18:03,水戸,3-0,金沢,Ｋｓスタ,4,506,スカパー！／スカパー！プレミアムサービス,18475
2016,Ｊ２,第２６節第１日,07/31(日),18:03,北九州,1-3,岡山,本城,3,575,スカパー！／スカパー！プレミアムサービス／ＲＫＢ毎日放送（録）,18482
2016,Ｊ２,第２６節第１日,07/31(日),18:03,讃岐,2-1,山形,ピカスタ,2,494,スカパー！／スカパー！プレミアムサービス,18480
2016,Ｊ２,第２６節第１日,07/31(日),18:04,東京Ｖ,1-0,熊本,味スタ,5,723,スカパー！／スカパー！プレミアムサービス,18476
2016,Ｊ２,第２６節第１日,07/31(日),18:04,清水,2-0,岐阜,アイスタ,11,143,スカパー！／スカパー！プレミアムサービス,18478
2016,Ｊ２,第２６節第１日,07/31(日),18:04,徳島,2-2,松本,鳴門大塚,4,642,スカパー！／スカパー！プレミアムサービス,18481
2016,Ｊ２,第２６節第１日,07/31(日),18:05,京都,3-3,Ｃ大阪,西京極,12,042,スカパー！／スカパー！プレミアムサービス,18479
2016,Ｊ２,第２６節第１日,07/31(日),19:03,山口,1-2,札幌,維新公園,7,510,スカパー！／スカパー！プレミアムサービス,18484
2016,Ｊ２,第２６節第１日,07/31(日),19:04,愛媛,1-0,群馬,ニンスタ,3,278,スカパー！／スカパー！プレミアムサービス,18485
2016,Ｊ２,第２７節第１日,08/07(日),14:03,札幌,3-2,清水,札幌ド,17,576,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18486
2016,Ｊ２,第２７節第１日,08/07(日),18:03,千葉,0-0,愛媛,フクアリ,8,295,スカパー！／スカパー！プレミアムサービス／千葉テレビ,18487
2016,Ｊ２,第２７節第１日,08/07(日),18:03,金沢,1-1,北九州,石川西部,4,005,スカパー！／スカパー！プレミアムサービス,18489
2016,Ｊ２,第２７節第１日,08/07(日),18:04,松本,0-0,水戸,松本,13,379,スカパー！／スカパー！プレミアムサービス,18488
2016,Ｊ２,第２７節第１日,08/07(日),18:04,岐阜,1-1,讃岐,長良川,4,431,スカパー！／スカパー！プレミアムサービス,18490
2016,Ｊ２,第２７節第１日,08/07(日),19:03,岡山,1-0,徳島,Ｃスタ,10,443,スカパー！／スカパー！プレミアムサービス,18495
2016,Ｊ２,第２７節第１日,08/07(日),19:03,町田,2-3,山口,町田,4,107,スカパー！／スカパー！プレミアムサービス,18492
2016,Ｊ２,第２７節第１日,08/07(日),19:03,熊本,1-2,長崎,うまスタ,6,572,スカパー！／スカパー！プレミアムサービス,18496
2016,Ｊ２,第２７節第１日,08/07(日),19:04,群馬,2-0,山形,正田スタ,3,862,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18491
2016,Ｊ２,第２７節第１日,08/07(日),19:04,京都,2-0,東京Ｖ,西京極,6,030,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都,18493
2016,Ｊ２,第２７節第１日,08/07(日),19:04,Ｃ大阪,2-3,横浜FC,金鳥スタ,13,246,スカパー！／スカパー！プレミアムサービス,18494
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,水戸,1-1,熊本,Ｋｓスタ,4,952,スカパー！／スカパー！プレミアムサービス,18498
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,讃岐,1-3,群馬,ピカスタ,2,744,スカパー！／スカパー！プレミアムサービス,18503
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,横浜FC,1-0,札幌,ニッパツ,6,843,スカパー！／スカパー！プレミアムサービス,18500
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,北九州,0-2,千葉,本城,3,981,スカパー！／スカパー！プレミアムサービス,18504
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:03,東京Ｖ,4-1,金沢,味スタ,3,658,スカパー！／スカパー！プレミアムサービス,18499
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:04,清水,2-0,長崎,アイスタ,10,356,スカパー！／スカパー！プレミアムサービス,18502
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:04,山形,0-0,京都,ＮＤスタ,14,450,スカパー！／スカパー！プレミアムサービス,18497
2016,Ｊ２,第２８節第１日,08/11(木・祝),18:04,松本,1-1,岐阜,松本,15,602,スカパー！／スカパー！プレミアムサービス,18501
2016,Ｊ２,第２８節第１日,08/11(木・祝),19:04,山口,0-2,Ｃ大阪,維新公園,14,532,スカパー！／スカパー！プレミアムサービス,18505
2016,Ｊ２,第２８節第１日,08/11(木・祝),19:04,徳島,1-1,町田,鳴門大塚,3,703,スカパー！／スカパー！プレミアムサービス,18506
2016,Ｊ２,第２８節第１日,08/11(木・祝),19:04,愛媛,1-1,岡山,ニンスタ,5,747,スカパー！／スカパー！プレミアムサービス,18507
2016,Ｊ２,第２９節第１日,08/14(日),13:33,札幌,3-1,山形,札幌ド,20,225,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18508
2016,Ｊ２,第２９節第１日,08/14(日),18:03,北九州,1-1,愛媛,本城,1,958,スカパー！／スカパー！プレミアムサービス,18513
2016,Ｊ２,第２９節第１日,08/14(日),18:03,岐阜,1-1,徳島,長良川,4,109,スカパー！／スカパー！プレミアムサービス／岐阜放送（録）,18512
2016,Ｊ２,第２９節第１日,08/14(日),18:03,長崎,0-0,金沢,トラスタ,4,315,スカパー！／スカパー！プレミアムサービス,18514
